Home Team,Away Team,Score
Crystal Palace FC,Arsenal FC,0 - 2
Fulham FC,Liverpool FC,2 - 2
Tottenham Hotspur FC,Southampton FC,4 - 1
Newcastle United FC,Nottingham Forest FC,2 - 0
Leeds United FC,Wolverhampton Wanderers FC,2 - 1
AFC Bournemouth,Aston Villa FC,2 - 0
Everton FC,Chelsea FC,0 - 1
Manchester United FC,Brighton & Hove Albion FC,1 - 2
Leicester City FC,Brentford FC,2 - 2
West Ham United FC,Manchester City FC,0 - 2
Aston Villa FC,Everton FC,2 - 1
Wolverhampton Wanderers FC,Fulham FC,0 - 0
Southampton FC,Leeds United FC,2 - 2
Manchester City FC,AFC Bournemouth,4 - 0
Brighton & Hove Albion FC,Newcastle United FC,0 - 0
Arsenal FC,Leicester City FC,4 - 2
Brentford FC,Manchester United FC,4 - 0
Nottingham Forest FC,West Ham United FC,1 - 0
Chelsea FC,Tottenham Hotspur FC,2 - 2
Liverpool FC,Crystal Palace FC,1 - 1
Tottenham Hotspur FC,Wolverhampton Wanderers FC,1 - 0
Leicester City FC,Southampton FC,1 - 2
Fulham FC,Brentford FC,3 - 2
Everton FC,Nottingham Forest FC,1 - 1
Crystal Palace FC,Aston Villa FC,3 - 1
AFC Bournemouth,Arsenal FC,0 - 3
West Ham United FC,Brighton & Hove Albion FC,0 - 2
Leeds United FC,Chelsea FC,3 - 0
Newcastle United FC,Manchester City FC,3 - 3
Manchester United FC,Liverpool FC,2 - 1
Southampton FC,Manchester United FC,0 - 1
Manchester City FC,Crystal Palace FC,4 - 2
Liverpool FC,AFC Bournemouth,9 - 0
Chelsea FC,Leicester City FC,2 - 1
Brighton & Hove Albion FC,Leeds United FC,1 - 0
Brentford FC,Everton FC,1 - 1
Arsenal FC,Fulham FC,2 - 1
Wolverhampton Wanderers FC,Newcastle United FC,1 - 1
Aston Villa FC,West Ham United FC,0 - 1
Nottingham Forest FC,Tottenham Hotspur FC,0 - 2
Crystal Palace FC,Brentford FC,1 - 1
Fulham FC,Brighton & Hove Albion FC,2 - 1
Southampton FC,Chelsea FC,2 - 1
Leeds United FC,Everton FC,1 - 1
Manchester City FC,Nottingham Forest FC,6 - 0
AFC Bournemouth,Wolverhampton Wanderers FC,0 - 0
Arsenal FC,Aston Villa FC,2 - 1
West Ham United FC,Tottenham Hotspur FC,1 - 1
Liverpool FC,Newcastle United FC,2 - 1
Leicester City FC,Manchester United FC,0 - 1
Everton FC,Liverpool FC,0 - 0
Wolverhampton Wanderers FC,Southampton FC,1 - 0
Tottenham Hotspur FC,Fulham FC,2 - 1
